keys,en,es
EVT_SPIRIT_BENDICION_DESC,"[i]The forest leaves shine with an emerald light. The Sanctuary spirits channel the energy of the land toward your croplands, blessing the harvests with supernatural fertility.[/i]","[i]Las hojas del bosque brillan con una luz esmeralda. Los espíritus del Santuario canalizan la energía de la tierra hacia tus campos de cultivo, bendiciendo las cosechas con una fertilidad sobrenatural.[/i]"
EVT_SPECIAL_SHOP_TITLE,Exotic Bazaar,Bazar Exótico
EVT_SPECIAL_SHOP_DESC,"[i]A mysterious merchant has set up shop on the outskirts. His wares are rare and powerful, but their price is steep.[/i]","[i]Un misterioso mercader ha desplegado su tienda en las afueras. Sus mercancías son raras y poderosas, pero su precio es elevado.[/i]"
EVT_SPIRIT_OFRENDA_TITLE,Forest Offering,Ofrenda del Bosque
EVT_SPIRIT_OFRENDA_DESC,"[i]At dawn, the settlers find baskets of wild berries, mushrooms and honey laid before the Sanctuary. The forest spirits share their abundance with those who respect the sacred grove.[/i]","[i]Al amanecer, los colonos encuentran cestas de frutos silvestres, setas y miel depositadas ante el Santuario. Los espíritus del bosque comparten su abundancia con quienes respetan la arboleda sagrada.[/i]"
EVT_SPIRIT_RAICES_TITLE,Protective Roots,Raíces Protectoras
EVT_SPIRIT_RAICES_DESC,"[i]The roots of the sacred forest spread underground, reaching the foundations of your buildings. The spirits strengthen the structures from below, reducing the cost of materials needed to build.[/i]","[i]Las raíces del bosque sagrado se extienden bajo tierra, alcanzando los cimientos de tus construcciones. Los espíritus fortalecen las estructuras desde abajo, reduciendo el coste de materiales necesarios para edificar.[/i]"
EVT_SPIRIT_PACTO_TITLE,Pact with the Forest,Pacto con el Bosque
EVT_SPIRIT_PACTO_DESC,"[i]The Sanctuary spirits propose an ancestral pact: they will extend the forest roots beyond your borders, claiming virgin territory for your empire. In exchange, they only ask that you respect the conquered land.[/i]","[i]Los espíritus del Santuario proponen un pacto ancestral: extenderán las raíces del bosque más allá de tus fronteras, reclamando territorio virgen para tu imperio. A cambio, solo piden que respetes la tierra conquistada.[/i]"
EVT_TRADE_AGREEMENT_TITLE,Trade Agreement,Tratado Comercial
EVT_TRADE_AGREEMENT_DESC,"[i]An envoy from a neighboring kingdom proposes a long-term trade deal. The investment is high, but the benefits are permanent.[/i]","[i]Un emisario de un reino vecino propone un acuerdo comercial a largo plazo. La inversión es alta, pero los beneficios son permanentes.[/i]"
EVT_TIME_OF_PLENTY_TITLE,Time of Plenty,Tiempo de Abundancia
EVT_TIME_OF_PLENTY_DESC,"[i]An era of prosperity blesses your lands. The granaries fill up and the people celebrate with festivals.[/i]","[i]Una época de prosperidad bendice tus tierras. Los graneros se llenan y el pueblo celebra con fiestas.[/i]"
EVT_SPIRIT_SUSURROS_TITLE,Ancestral Whispers,Susurros Ancestrales
EVT_SPIRIT_SUSURROS_DESC,"[i]At night, ancient voices echo from the Sanctuary. The ancestral spirits share their wisdom with your advisors, revealing forgotten strategies and opening new possibilities each turn.[/i]","[i]Por las noches, voces antiguas resuenan desde el Santuario. Los espíritus ancestrales comparten su sabiduría con tus consejeros, revelando estrategias olvidadas y abriendo nuevas posibilidades cada turno.[/i]"
EVT_TRADE_WINDS_TITLE,Trade Winds,Vientos de Comercio
EVT_TRADE_WINDS_DESC,"[i]The winds blow in favor of your merchant ships. The trade routes flourish like never before.[/i]","[i]Los vientos soplan a favor de tus barcos mercantes. Las rutas comerciales florecen como nunca antes.[/i]"
EVT_TRAVELING_ARTISANS_TITLE,Traveling Artisans,Artesanos Ambulantes
EVT_TRAVELING_ARTISANS_DESC,"[i]A guild of itinerant artisans offers their services. Their techniques reduce the cost of any work.[/i]","[i]Un gremio de artesanos itinerantes ofrece sus servicios. Sus técnicas reducen el coste de cualquier obra.[/i]"
EVT_UNLOCK_AMBUSH_TITLE,Ambush Doctrine,Doctrina de Emboscada
EVT_UNLOCK_AMBUSH_DESC,"[i]Your scouts know every path, every grove, every swamp. Your captains propose a doctrine of irregular combat: strike from the undergrowth and disappear before the enemy reacts.[/i]","[i]Tus exploradores conocen cada sendero, cada arboleda, cada pantano. Tus capitanes proponen una doctrina de combate irregular: golpear desde la maleza y desaparecer antes de que el enemigo reaccione.[/i]"
EVT_UNLOCK_CARAVANA_TITLE,Desert Routes,Rutas del Desierto
EVT_UNLOCK_CARAVANA_DESC,"[i]Your dominion over the sands expands. Nomadic merchants approach your borders offering to establish permanent trade routes across the desert. The caravans will bring riches, but the merchants will need to be fed.[/i]","[i]Tu dominio sobre las arenas se extiende. Mercaderes nómadas se acercan a tus fronteras ofreciendo establecer rutas comerciales permanentes a través del desierto. Las caravanas traerán riquezas, pero habrá que alimentar a los comerciantes.[/i]"
EVT_UNLOCK_ARROW_RAIN_TITLE,Massed Volley Doctrine,Doctrina del Tiro Masivo
EVT_UNLOCK_ARROW_RAIN_DESC,"[i]Your archers have perfected arcing fire. Your captains propose formalizing the arrow rain doctrine: a coordinated volley that saturates the enemy field... as long as the terrain allows a line of sight.[/i]","[i]Tus arqueros han perfeccionado el tiro en parábola. Tus capitanes proponen formalizar la doctrina de la lluvia de flechas: una andanada coordinada que satura el campo enemigo... siempre que el terreno permita ver el blanco.[/i]"
EVT_UNLOCK_CAVALRY_CHARGE_TITLE,Charge Doctrine,Doctrina de Carga
EVT_UNLOCK_CAVALRY_CHARGE_DESC,"[i]Your riders have proven their worth on the battlefield. Your generals propose formalizing the frontal charge doctrine: a coordinated rush that crushes the enemy lines... when the terrain allows it.[/i]","[i]Tus jinetes han demostrado su valía en el campo de batalla. Tus generales proponen formalizar la doctrina de carga frontal: una embestida coordinada que aplaste las líneas enemigas... cuando el terreno lo permita.[/i]"
EVT_UNLOCK_ESCUELA_TITLE,Enlightened Planners,Urbanistas Ilustrados
EVT_UNLOCK_ESCUELA_DESC,"[i]Scholars and urban planners request an audience. They have studied the growth of your cities and propose founding a planning school to optimize the future urbanization of your empire.[/i]","[i]Eruditos y planificadores urbanos solicitan audiencia. Han estudiado el crecimiento de tus ciudades y proponen fundar una escuela de planificación que optimice la urbanización futura de tu imperio.[/i]"
EVT_UNLOCK_COLISEO_TITLE,Architects of Spectacle,Arquitectos del Espectáculo
EVT_UNLOCK_COLISEO_DESC,"[i]Your empire's fame attracts visionary architects from distant lands. They propose building a great colosseum in your megalopolis, a monument that reduces construction costs across the empire thanks to the techniques they will teach your stonemasons.[/i]","[i]La fama de tu imperio atrae a arquitectos visionarios de tierras lejanas. Proponen construir un gran coliseo en tu megalópolis, un monumento que reduzca los costes de construcción en todo el imperio gracias a las técnicas que enseñarán a tus canteros.[/i]"
EVT_UNLOCK_FORTALEZA_TITLE,Stone Bastions,Bastiones de Piedra
EVT_UNLOCK_FORTALEZA_DESC,"[i]Your builders have learned to use mountain rock to erect imposing defensive structures. The military engineers propose building fortresses on the peaks to protect conquered territory.[/i]","[i]Tus constructores han aprendido a aprovechar la roca de las montañas para erigir estructuras defensivas imponentes. Los ingenieros militares proponen construir fortalezas en las cimas para proteger el territorio conquistado.[/i]"
EVT_UNLOCK_FRONTAL_TITLE,Frontal Assault Doctrine,Doctrina del Asalto Frontal
EVT_UNLOCK_FRONTAL_DESC,"[i]Your heavy infantry advances like a wall of steel. Your generals propose a frontal combat doctrine: armor, discipline and relentless push against the enemy center.[/i]","[i]Tu infantería pesada avanza como un muro de acero. Tus generales proponen una doctrina de combate frontal: armadura, disciplina y empuje implacable contra el centro enemigo.[/i]"
EVT_UNLOCK_GRANJA_SANG_TITLE,Secrets of the Swamp,Secretos del Pantano
EVT_UNLOCK_GRANJA_SANG_DESC,"[i]The healers of your swamp lands have discovered the medicinal properties of the local leeches. They propose raising these animals to sell as a remedy to apothecaries in distant lands. It is a lucrative business, though maintaining the farms consumes resources.[/i]","[i]Los curanderos de tus tierras pantanosas han descubierto las propiedades medicinales de las sanguijuelas locales. Proponen criar estos animales para venderlos como remedio a los boticarios de tierras lejanas. Es un negocio lucrativo, aunque mantener las granjas consume recursos.[/i]"
EVT_UNLOCK_LIBRARY_TITLE,Traveling Scholars,Eruditos Viajeros
EVT_UNLOCK_LIBRARY_DESC,"[i]Sages and scholars from distant lands seek refuge in your cities. They offer to share their knowledge in exchange for a place to preserve it: a great library that attracts more brilliant minds to your empire.[/i]","[i]Sabios y eruditos de tierras lejanas buscan refugio en tus ciudades. Ofrecen compartir su conocimiento a cambio de un lugar donde preservarlo: una gran biblioteca que atraiga a más mentes brillantes a tu imperio.[/i]"
EVT_UNLOCK_OBSERVATORIO_TITLE,Skies of the Tundra,Cielos de la Tundra
EVT_UNLOCK_OBSERVATORIO_DESC,"[i]The clear nights of the tundra reveal an unparalleled starry sky. Your sages propose building observatories on the icy peaks to study the stars. The knowledge gained will broaden your strategic options, but keeping the astronomers in the cold will be costly.[/i]","[i]Las noches despejadas de la tundra revelan un cielo estrellado sin igual. Tus sabios proponen construir observatorios en las cumbres heladas para estudiar los astros. El conocimiento adquirido ampliará tus opciones estratégicas, pero mantener a los astrónomos en el frío será costoso.[/i]"
EVT_UNLOCK_MOLINO_TITLE,Winds of the Grassland,Vientos de Pradera
EVT_UNLOCK_MOLINO_DESC,"[i]Your settlers have learned to harness the winds of the grasslands. The carpenters propose building mills to use the force of the wind and multiply grain production.[/i]","[i]Tus colonos han aprendido a dominar los vientos de las praderas. Los carpinteros proponen construir molinos para aprovechar la fuerza del viento y multiplicar la producción de grano.[/i]"
EVT_UNLOCK_OFICINA_TITLE,Imperial Bureaucracy,Burocracia Imperial
EVT_UNLOCK_OFICINA_DESC,"[i]The number of buildings in your empire has grown to the point of needing centralized management. Your advisors propose establishing a construction office to coordinate and lower the cost of future works.[/i]","[i]La cantidad de edificios en tu imperio ha crecido hasta el punto de necesitar una gestión centralizada. Tus consejeros proponen establecer una oficina de construcción que coordine y abarate las futuras obras.[/i]"
EVT_UNLOCK_OPEN_FRONT_TITLE,Border Conflict,Conflicto fronterizo
EVT_UNLOCK_OPEN_FRONT_DESC,"[i]Your troops are ready and tension on the border grows. Your generals propose taking the initiative and opening a battle front against the enemy.[/i]","[i]Tus tropas están listas y la tensión en la frontera crece. Tus generales proponen tomar la iniciativa y abrir un frente de batalla contra el enemigo.[/i]"
EVT_UNLOCK_PALACIO_TITLE,The Imperial Crown,La Corona Imperial
EVT_UNLOCK_PALACIO_DESC,"[i]Your empire has become one of the most powerful civilizations in the known world. The nobles and governors of your provinces propose erecting an imperial palace, the ultimate symbol of your greatness, that centralizes power and multiplies the prosperity of all your lands.[/i]","[i]Tu imperio se ha convertido en una de las civilizaciones más poderosas del mundo conocido. Los nobles y gobernadores de tus provincias proponen erigir un palacio imperial, símbolo definitivo de tu grandeza, que centralice el poder y multiplique la prosperidad de todas tus tierras.[/i]"
EVT_UNLOCK_PHALANX_TITLE,Phalanx Doctrine,Doctrina de la Falange
EVT_UNLOCK_PHALANX_DESC,"[i]Your pikemen form ranks with discipline. Your instructors propose a closed formation of spears and shields: a human wall that stops any charge on favorable terrain.[/i]","[i]Tus piqueros forman filas con disciplina. Tus instructores proponen una formación cerrada de lanzas y escudos: un muro humano que detiene cualquier embestida en terreno favorable.[/i]"
EVT_UNLOCK_TEMPLE_TITLE,Spiritual Fervor,Fervor Espiritual
EVT_UNLOCK_TEMPLE_DESC,"[i]Pilgrims and priests arrive in your domains, inspired by the prosperity of your civilization. They propose erecting a sacred temple that blesses your harvests and feeds the spirit of your people.[/i]","[i]Peregrinos y sacerdotes llegan a tus dominios, inspirados por la prosperidad de tu civilización. Proponen erigir un templo sagrado que bendiga tus cosechas y alimente el espíritu de tu pueblo.[/i]"
EVT_UNLOCK_RECRUIT_TITLE,Call to Arms,Llamada a las armas
EVT_UNLOCK_RECRUIT_DESC,"[i]Your empire's borders touch those of a rival. Your advisors recommend preparing the defenses and forming an army. It is time to recruit troops.[/i]","[i]Las fronteras de tu imperio rozan las de un rival. Tus consejeros recomiendan preparar las defensas y formar un ejército. Es hora de reclutar tropas.[/i]"
EVT_UNLOCK_SANTUARIO_TITLE,Forest Spirits,Espíritus del Bosque
EVT_UNLOCK_SANTUARIO_DESC,"[i]Deep within your forests, the scouts have found a clearing where the trees whisper with ancient voices. The forest spirits manifest before your settlers and offer their blessing: they allow a sacred sanctuary to be erected in their honor. But the decision is yours.[/i]","[i]En lo más profundo de tus bosques, los exploradores han encontrado un claro donde los árboles susurran con voces antiguas. Los espíritus del bosque se manifiestan ante tus colonos y ofrecen su bendición: permiten erigir un santuario sagrado en su honor. Pero la decisión es tuya.[/i]"
EVT_UNLOCK_UPGRADE_TITLE,Masters of the Craft,Maestros del Oficio
EVT_UNLOCK_UPGRADE_DESC,"[i]Experienced artisans from distant lands arrive in your domains, impressed by your growing empire. They offer their knowledge to perfect existing structures, transforming them into superior versions of themselves.[/i]","[i]Artesanos experimentados de tierras lejanas llegan a tus dominios, impresionados por tu creciente imperio. Ofrecen sus conocimientos para perfeccionar las estructuras existentes, transformándolas en versiones superiores de sí mismas.[/i]"
EVT_UNLOCK_URBANIZE_TITLE,Urban Boom,Auge Urbano
EVT_UNLOCK_URBANIZE_DESC,"[i]Your villages prosper and grow endlessly. The most veteran master builders and administrators propose an ambitious plan: transform the most developed villages into true cities, with markets, warehouses and ports that propel your civilization into a new era.[/i]","[i]Tus aldeas prosperan y crecen sin cesar. Los maestros constructores y administradores más veteranos proponen un ambicioso plan: transformar las aldeas más desarrolladas en auténticas ciudades, con mercados, almacenes y puertos que impulsen tu civilización a una nueva era.[/i]"
EVT_WISE_TRAVELERS_TITLE,Wise Travelers,Sabios Viajeros
EVT_WISE_TRAVELERS_DESC,"[i]A group of scholars and sages arrives at your court. Their knowledge is vast and they wish to share it in exchange for refuge.[/i]","[i]Un grupo de eruditos y sabios llega a tu corte. Su conocimiento es vasto y desean compartirlo a cambio de refugio.[/i]"
EVT_ABUNDANT_CH1_LABEL,Gather the harvest,Recoger la cosecha
EVT_ABUNDANT_CH1_DESC,Your fields produce more than expected.,Tus campos producen mas de lo esperado.
EVT_BAD_HARVEST_CH1_LABEL,Accept the losses,Aceptar las perdidas
EVT_BAD_HARVEST_CH1_DESC,Your fields produce less than expected.,Tus campos producen menos de lo esperado.
EVT_BAD_HARVEST_CH2_LABEL,Buy emergency grain,Comprar grano de emergencia
EVT_BAD_HARVEST_CH2_DESC,Pay gold to offset the losses.,Paga oro para compensar las perdidas.
EVT_AGRARIAN_CH1_LABEL,Implement the reform,Implementar la reforma
EVT_AGRARIAN_CH1_DESC,You lose gold but gain food for 4 turns.,Pierdes oro pero ganas comida durante 4 turnos.
EVT_AGRARIAN_CH2_LABEL,Keep the current order,Mantener el orden actual
EVT_AGRARIAN_CH2_DESC,You do not implement the reform.,No implementas la reforma.
EVT_BANDITS_CH1_LABEL,Ignore the bandits,Ignorar a los bandidos
EVT_BANDITS_CH1_DESC,The bandits raid your trade routes.,Los bandidos saquean tus rutas comerciales.
EVT_BANDITS_CH2_LABEL,Hire escorts,Contratar escoltas
EVT_BANDITS_CH2_DESC,Pay gold to protect your caravans.,Paga oro para proteger tus caravanas.
EVT_CARD_OFFERING_CH1_LABEL,Accept the offering,Aceptar la ofrenda
EVT_CARD_OFFERING_CH1_DESC,You receive a copy of [b]%s[/b].,Recibes una copia de [b]%s[/b].
EVT_CATTLE_FAIR_CH1_LABEL,Sell livestock,Vender ganado
EVT_CATTLE_FAIR_CH1_DESC,You lose food but gain gold for 3 turns.,Pierdes comida pero ganas oro durante 3 turnos.
EVT_CATTLE_FAIR_CH2_LABEL,Decline the offer,Rechazar la oferta
EVT_CATTLE_FAIR_CH2_DESC,You do not take part in the fair.,No participas en la feria.
EVT_CONSTRUCTION_BOOM_CH1_LABEL,Receive a Build card,Recibir carta de Construir
EVT_CONSTRUCTION_BOOM_CH1_DESC,Adds a Build card to your discard pile.,Añade una carta de Construir a tu pila de descartes.
EVT_DECK_PURGE_CH1_LABEL,Purge the deck,Depurar el mazo
EVT_DECK_PURGE_CH1_DESC,Choose a card from your deck to remove permanently.,Elige una carta de tu mazo para eliminarla permanentemente.
EVT_DECK_PURGE_CH2_LABEL,Do nothing,No hacer nada
EVT_DECK_PURGE_CH2_DESC,You keep your deck intact.,Mantienes tu mazo intacto.
EVT_DROUGHT_CH1_LABEL,Endure the drought,Soportar la sequia
EVT_DROUGHT_CH1_DESC,A prolonged drought strikes your lands.,Una sequia prolongada azota tus tierras.
EVT_LOCUST_CH1_LABEL,Suffer the plague,Sufrir la plaga
EVT_LOCUST_CH1_DESC,The locusts devour your harvests. -20% food for 4 turns.,Las langostas devoran tus cosechas. -20% comida durante 4 turnos.
EVT_MATERIAL_CRISIS_CH1_LABEL,Accept the prices,Aceptar los precios
EVT_MATERIAL_CRISIS_CH1_DESC,Materials are scarce. +25% construction cost for 4 turns.,Los materiales escasean. +25% coste de construccion durante 4 turnos.
EVT_MATERIAL_CRISIS_CH2_LABEL,Secure supplies,Asegurar suministros
EVT_MATERIAL_CRISIS_CH2_DESC,Pay gold to guarantee supply.,Paga oro para garantizar el abastecimiento.
EVT_MEGALOPOLIS_CH1_LABEL,Found a Megalopolis,Fundar Megalópolis
EVT_MEGALOPOLIS_CH1_DESC,Choose one of your cities with 3+ buildings to transform it into a Megalopolis. Cost: 200 gold.,Elige una de tus ciudades con 3+ edificios para transformarla en una Megalópolis. Coste: 200 oro.
EVT_MERCENARIES_CH1_LABEL,Hire mercenaries,Contratar mercenarios
EVT_MERCENARIES_CH1_DESC,Pay gold to receive a Colonize card.,Paga oro para recibir una carta de Colonizar.
EVT_MERCENARIES_CH2_LABEL,Decline the offer,Rechazar la oferta
EVT_MERCENARIES_CH2_DESC,You do not hire mercenaries.,No contratas mercenarios.
EVT_MERCHANT_CARAVAN_CH1_LABEL,Accept the coins,Aceptar las monedas
EVT_MERCHANT_CARAVAN_CH1_DESC,You receive gold from the merchants.,Recibes oro de los mercaderes.
EVT_SPIRIT_BENDICION_CH1_LABEL,Accept the blessing,Aceptar la bendición
EVT_SPIRIT_BENDICION_CH1_DESC,The spirits bless your harvests. +25% food production for 3 turns.,Los espíritus bendicen tus cosechas. +25% producción de comida durante 3 turnos.
EVT_SPIRIT_OFRENDA_CH1_LABEL,Accept the offering,Aceptar la ofrenda
EVT_SPIRIT_OFRENDA_CH1_DESC,The spirits offer the fruits of the forest. You gain food based on game progress.,Los espíritus ofrecen los frutos del bosque. Ganas comida según el avance de la partida.
EVT_SPIRIT_PACTO_CH1_LABEL,Seal the pact,Sellar el pacto
EVT_SPIRIT_PACTO_CH1_DESC,The spirits extend the forest roots and claim an adjacent tile for your empire.,Los espíritus extienden las raíces del bosque y reclaman una casilla adyacente para tu imperio.
EVT_SPIRIT_RAICES_CH1_LABEL,Accept the protection,Aceptar la protección
EVT_SPIRIT_RAICES_CH1_DESC,The forest roots strengthen your foundations. -15% construction cost for 3 turns.,Las raíces del bosque fortalecen tus cimientos. -15% coste de construcción durante 3 turnos.
EVT_SPIRIT_SUSURROS_CH1_LABEL,Listen to the whispers,Escuchar los susurros
EVT_SPIRIT_SUSURROS_CH1_DESC,The ancestral voices guide your decisions. +1 card per turn for 3 turns.,Las voces ancestrales guían tus decisiones. +1 carta por turno durante 3 turnos.
EVT_TRADE_AGREEMENT_CH1_LABEL,Sign the treaty,Firmar el tratado
EVT_TRADE_AGREEMENT_CH1_DESC,Pay gold to gain +10% permanent gold.,Paga oro para obtener +10% oro permanente.
EVT_TRADE_AGREEMENT_CH2_LABEL,Reject the treaty,Rechazar el tratado
EVT_TRADE_AGREEMENT_CH2_DESC,You do not sign the agreement.,No firmas el acuerdo.
EVT_TRADE_WINDS_CH1_LABEL,Harness the winds,Aprovechar los vientos
EVT_TRADE_WINDS_CH1_DESC,Temporary bonus to gold production.,Bonus temporal a la produccion de oro.
EVT_TIME_OF_PLENTY_CH1_LABEL,Enjoy the abundance,Disfrutar la abundancia
EVT_TIME_OF_PLENTY_CH1_DESC,Temporary bonus to food production.,Bonus temporal a la produccion de comida.
EVT_UNLOCK_AMBUSH_CH1_LABEL,Adopt the ambush doctrine,Adoptar la doctrina de emboscada
EVT_UNLOCK_AMBUSH_CH1_DESC,You receive the Ambush card and it is unlocked in the pool.,Recibes la carta de Emboscada y se desbloquea en el pool.
EVT_TRAVELING_ARTISANS_CH1_LABEL,Hire artisans,Contratar artesanos
EVT_TRAVELING_ARTISANS_CH1_DESC,Temporary reduction in construction cost.,Reduccion temporal del coste de construccion.
EVT_UNLOCK_ARROW_RAIN_CH1_LABEL,Adopt the massed volley doctrine,Adoptar la doctrina del tiro masivo
EVT_UNLOCK_ARROW_RAIN_CH1_DESC,You receive the Arrow Rain card and it is unlocked in the pool.,Recibes la carta de Lluvia de Flechas y se desbloquea en el pool.
EVT_UNLOCK_CARAVANA_CH1_LABEL,Establish trade routes,Establecer rutas comerciales
EVT_UNLOCK_CARAVANA_CH1_DESC,Unlocks the Trade Caravan as a building you can build in deserts.,Desbloquea la Caravana Comercial como edificio construible en desiertos.
EVT_UNLOCK_CAVALRY_CHARGE_CH1_LABEL,Adopt the charge doctrine,Adoptar la doctrina de carga
EVT_UNLOCK_CAVALRY_CHARGE_CH1_DESC,You receive the Cavalry Charge card and it is unlocked in the pool.,Recibes la carta de Carga de Caballería y se desbloquea en el pool.
EVT_UNLOCK_COLISEO_CH1_LABEL,Welcome the architects,Acoger a los arquitectos
EVT_UNLOCK_COLISEO_CH1_DESC,Adds a card to build the Colosseum to your discard pile.,Añade una carta para construir el Coliseo a tu pila de descartes.
EVT_UNLOCK_ESCUELA_CH1_LABEL,Found the school,Fundar la escuela
EVT_UNLOCK_ESCUELA_CH1_DESC,Adds a card to build the Planning School to your discard pile.,Añade una carta para construir la Escuela de Planificación a tu pila de descartes.
EVT_UNLOCK_FORTALEZA_CH1_LABEL,Master the mountains,Dominar las montañas
EVT_UNLOCK_FORTALEZA_CH1_DESC,Unlocks the Fortress as a building you can build in mountains.,Desbloquea la Fortaleza como edificio construible en montañas.
EVT_UNLOCK_FRONTAL_CH1_LABEL,Adopt the frontal assault doctrine,Adoptar la doctrina de asalto frontal
EVT_UNLOCK_FRONTAL_CH1_DESC,You receive the Frontal Assault card and it is unlocked in the pool.,Recibes la carta de Asalto Frontal y se desbloquea en el pool.
EVT_UNLOCK_GRANJA_SANG_CH1_LABEL,Exploit the swamps,Aprovechar los pantanos
EVT_UNLOCK_GRANJA_SANG_CH1_DESC,Unlocks the Leech Farm as a building you can build in swamps.,Desbloquea la Granja de Sanguijuelas como edificio construible en pantanos.
EVT_UNLOCK_LIBRARY_CH1_LABEL,Welcome the scholars,Acoger a los eruditos
EVT_UNLOCK_LIBRARY_CH1_DESC,You receive a single-use card to build a Library.,Recibes una carta de un solo uso para construir una Library.
EVT_UNLOCK_MOLINO_CH1_LABEL,Build Mills,Construir Molinos
EVT_UNLOCK_MOLINO_CH1_DESC,Unlocks the Mill as a building you can build in grasslands.,Desbloquea el Molino como edificio construible en praderas.
EVT_UNLOCK_OBSERVATORIO_CH1_LABEL,Study the stars,Estudiar las estrellas
EVT_UNLOCK_OBSERVATORIO_CH1_DESC,Unlocks the Observatory as a building you can build in the tundra.,Desbloquea el Observatorio como edificio construible en la tundra.
EVT_UNLOCK_OFICINA_CH1_LABEL,Establish the office,Establecer la oficina
EVT_UNLOCK_OFICINA_CH1_DESC,Adds a card to build the Construction Office to your discard pile.,Añade una carta para construir la Oficina de Construcción a tu pila de descartes.
EVT_UNLOCK_OPEN_FRONT_CH1_LABEL,Prepare the offensive,Preparar la ofensiva
EVT_UNLOCK_OPEN_FRONT_CH1_DESC,You receive an Open Front card and it is unlocked in the card pool.,Recibes una carta de Abrir Frente y se desbloquea en el pool de cartas.
EVT_UNLOCK_PHALANX_CH1_LABEL,Adopt the phalanx formation,Adoptar la formación de falange
EVT_UNLOCK_PHALANX_CH1_DESC,You receive the Pike and Shield Wall card and it is unlocked in the pool.,Recibes la carta del Muro de Lanzas y Escudos y se desbloquea en el pool.
EVT_UNLOCK_PALACIO_CH1_LABEL,Erect the palace,Erigir el palacio
EVT_UNLOCK_PALACIO_CH1_DESC,Adds a card to build the Imperial Palace to your discard pile.,Añade una carta para construir el Palacio Imperial a tu pila de descartes.
EVT_UNLOCK_RECRUIT_CH1_LABEL,Recruit troops,Reclutar tropas
EVT_UNLOCK_RECRUIT_CH1_DESC,"You receive a Recruit card, it is unlocked in the card pool and Barracks construction is enabled.","Recibes una carta de Reclutar, se desbloquea en el pool de cartas y se habilita la construcción del Cuartel."
EVT_UNLOCK_SANTUARIO_CH1_LABEL,Accept the blessing,Aceptar la bendición
EVT_UNLOCK_SANTUARIO_CH1_DESC,You receive a single-use card to build the Forest Sanctuary.,Recibes una carta de un solo uso para construir el Santuario del Bosque.
EVT_UNLOCK_TEMPLE_CH1_LABEL,Erect a temple,Erigir un templo
EVT_UNLOCK_TEMPLE_CH1_DESC,You receive a single-use card to build a Temple.,Recibes una carta de un solo uso para construir un Temple.
EVT_UNLOCK_UPGRADE_CH1_LABEL,Welcome the masters,Acoger a los maestros
EVT_UNLOCK_UPGRADE_CH1_DESC,You receive an Upgrade Building card.,Recibes una carta de Mejorar Edificio.
EVT_UNLOCK_URBANIZE_CH1_LABEL,Found cities,Fundar ciudades
EVT_UNLOCK_URBANIZE_CH1_DESC,You receive an Urban Project card and unlock new city buildings.,Recibes una carta de Proyecto Urbano y desbloqueas nuevos edificios de ciudad.
EVT_WISE_TRAVELERS_CH1_LABEL,Welcome the sages,Acoger a los sabios
EVT_WISE_TRAVELERS_CH1_DESC,+1 card per turn permanently.,+1 carta por turno de forma permanente.
PAUSE_TITLE,Game Paused,Partida en pausa
PAUSE_CONTINUE,Continue,Continuar
PAUSE_MAIN_MENU,Main Menu,Menú Principal
GAMEOVER_TITLE,Game Over,Fin de partida
GAMEOVER_VICTORY,Victory! %s has dominated the map.,¡Victoria! %s ha dominado el mapa.
GAMEOVER_DEFEAT,Defeat. %s has won the game.,Derrota. %s ha ganado la partida.
